juego_id,titulo,plataforma,stock,umbral,precio
JV0831,Diablo IV,PS5,1,5,260.88
JV0844,Final Fantasy XVI,PC,1,10,168.02
JV0848,Zelda TOTK,Xbox,1,5,118.27
JV0857,Gran Turismo 7,Xbox,1,4,137.4
JV0869,Dead Space Remake,PS5,1,10,179.71
JV0885,Cyberpunk 2077,PC,1,5,216.21
JV0886,Mortal Kombat 1,Xbox,1,4,248.36
JV0888,Hogwarts Legacy,Xbox,1,7,274.71
JV0893,Resident Evil 4,PC,1,7,101.15
JV0894,Cyberpunk 2077,PS4,1,9,279.35
JV0895,Final Fantasy XVI,Xbox,1,5,134.43
JV0905,Mortal Kombat 1,PS4,1,8,219.26
JV0930,Gran Turismo 7,Xbox,1,10,125.41
JV0935,Gran Turismo 7,Switch,1,7,136.75
JV0942,Mario Kart 8 Deluxe,Xbox,1,3,185.9
JV0970,Mortal Kombat 1,Xbox,1,10,106.04
JV0975,Spider-Man 2,Xbox,1,10,157.82
JV0984,Call of Duty MW3,Switch,1,6,168.6
JV0985,God of War Ragnarök,Xbox,1,5,130.72
JV0008,Call of Duty MW3,PS5,1,8,116.79
JV0008,Call of Duty MW3,PC,1,9,109.97
JV0014,Cyberpunk 2077,PS5,1,10,164.85
JV0024,Elden Ring,Switch,1,9,171.29
JV0039,Cyberpunk 2077,Switch,1,8,261.42
JV0051,Diablo IV,PC,1,10,242.21
JV0071,Resident Evil 4,Xbox,1,7,118.34
JV0093,Dead Space Remake,Switch,1,9,187.04
JV0094,Call of Duty MW3,PC,1,10,212.21
JV0098,FIFA 24,PS5,1,9,251.31
JV0104,Dead Space Remake,Xbox,1,10,253.0
JV0123,Elden Ring,PC,1,5,103.87
JV0157,FIFA 24,Xbox,1,8,289.77
JV0170,FIFA 24,Xbox,1,3,205.39
JV0184,Call of Duty MW3,PS5,1,7,230.13
JV0192,Diablo IV,PS4,1,7,179.22
JV0207,Diablo IV,Switch,1,7,208.97
JV0228,Mortal Kombat 1,PS4,1,3,145.95
JV0234,Baldur's Gate 3,Switch,1,4,297.51
JV0235,Resident Evil 4,Xbox,1,10,269.78
JV0254,Hogwarts Legacy,PC,1,9,155.17
JV0292,Minecraft,PS5,1,3,238.18
JV0313,Baldur's Gate 3,Xbox,1,4,188.24
JV0319,Diablo IV,Switch,1,10,170.42
JV0340,Dead Space Remake,Switch,1,3,217.39
JV0376,Resident Evil 4,PS5,1,10,227.79
JV0396,Hogwarts Legacy,PS4,1,5,225.78
JV0408,Zelda TOTK,Switch,1,6,174.46
JV0410,Baldur's Gate 3,PS5,2,4,145.9
JV0415,Diablo IV,PS5,2,3,112.25
JV0430,God of War Ragnarök,Xbox,2,6,254.78
JV0435,Mortal Kombat 1,PS5,2,5,169.55
JV0441,FIFA 24,PS4,2,5,209.34
JV0462,Diablo IV,PC,2,5,252.91
JV0465,Gran Turismo 7,PC,2,4,132.91
JV0473,Diablo IV,Xbox,2,9,115.05
JV0475,Dead Space Remake,Xbox,2,9,242.97
JV0480,Final Fantasy XVI,Xbox,2,8,120.71
JV0483,Resident Evil 4,PS4,2,10,106.95
JV0486,Super Mario Wonder,PS5,2,6,129.74
JV0493,Spider-Man 2,Switch,2,9,209.55
JV0503,Super Mario Wonder,PC,2,9,286.79
JV0515,Diablo IV,Xbox,2,7,152.3
JV0527,Mortal Kombat 1,PS4,2,10,245.07
JV0547,Final Fantasy XVI,PS5,2,7,284.11
JV0559,FIFA 24,PC,2,10,290.44
JV0578,Elden Ring,PS4,2,3,285.54
JV0587,Super Mario Wonder,PS5,2,10,285.14
JV0593,Final Fantasy XVI,Xbox,2,5,156.48
JV0602,Elden Ring,Switch,2,3,255.77
JV0602,Elden Ring,Xbox,2,9,199.92
JV0609,Mortal Kombat 1,PC,2,5,156.58
JV0610,Mario Kart 8 Deluxe,PS4,2,5,136.13
JV0630,Super Mario Wonder,Switch,2,9,158.49
JV0661,Cyberpunk 2077,PS5,2,7,250.88
JV0667,Mario Kart 8 Deluxe,PS4,2,6,268.22
JV0673,Hogwarts Legacy,PC,2,4,226.14
JV0692,Final Fantasy XVI,PC,2,4,121.05
JV0713,Baldur's Gate 3,PS5,2,4,195.69
JV0713,Baldur's Gate 3,Xbox,2,10,254.75
JV0748,Mortal Kombat 1,PS4,2,8,257.46
JV0759,Diablo IV,PC,2,3,296.38
JV0784,Mortal Kombat 1,Switch,2,8,147.45
JV0798,Diablo IV,PS4,2,10,119.76
JV0806,Diablo IV,PS4,2,9,160.27
JV0813,Elden Ring,PS4,2,6,148.17
JV0830,Call of Duty MW3,PS4,2,5,200.17
JV0834,Elden Ring,Switch,2,6,221.46
JV0835,FIFA 24,PS5,2,5,132.29
JV0857,Gran Turismo 7,PS5,2,3,194.96
JV0861,Mario Kart 8 Deluxe,PC,2,5,258.6
JV0881,Hogwarts Legacy,Switch,2,4,139.73
JV0881,Hogwarts Legacy,Xbox,2,9,181.2
JV0891,Final Fantasy XVI,PS4,2,10,157.54
JV0897,FIFA 24,PC,2,8,228.6
JV0904,God of War Ragnarök,PC,2,9,153.48
JV0930,Gran Turismo 7,PC,2,8,246.96
JV0938,Hogwarts Legacy,PS5,2,3,278.87
JV0978,Spider-Man 2,Xbox,2,3,224.36
JV0982,Mortal Kombat 1,Switch,2,5,298.18
JV0985,God of War Ragnarök,Switch,2,8,207.41
JV0022,FIFA 24,Switch,2,3,136.52
JV0029,Mortal Kombat 1,Xbox,2,4,160.19
JV0033,Diablo IV,PS4,2,9,263.77
JV0040,Baldur's Gate 3,Xbox,2,7,109.73
JV0046,Spider-Man 2,Switch,2,4,152.41
JV0053,FIFA 24,PC,2,9,193.16
JV0090,Dead Space Remake,Xbox,2,9,279.18
JV0110,Dead Space Remake,Switch,2,8,190.52
JV0112,Mortal Kombat 1,Switch,2,6,105.79
JV0123,Elden Ring,PS4,2,9,139.91
JV0123,Elden Ring,Switch,2,5,205.78
JV0142,Super Mario Wonder,PC,2,4,141.23
JV0174,God of War Ragnarök,PS5,2,8,205.44
JV0188,FIFA 24,PS4,2,10,288.5
JV0190,Cyberpunk 2077,PC,2,10,228.53
JV0192,Diablo IV,PC,2,6,169.56
JV0204,Hogwarts Legacy,PS4,2,6,182.06
JV0211,Spider-Man 2,PC,2,10,283.61
JV0223,Final Fantasy XVI,Switch,2,3,110.08
JV0234,Baldur's Gate 3,PC,2,9,118.06
JV0239,Final Fantasy XVI,PS4,2,7,293.4
JV0244,Zelda TOTK,Switch,2,9,246.97
JV0257,Super Mario Wonder,Xbox,2,6,283.14
JV0293,God of War Ragnarök,Xbox,2,4,275.77
JV0299,Mario Kart 8 Deluxe,PS5,2,7,278.06
JV0316,Baldur's Gate 3,Xbox,2,10,144.31
JV0341,Mortal Kombat 1,PC,2,8,166.72
JV0344,Final Fantasy XVI,Xbox,2,6,252.32
JV0368,Zelda TOTK,Switch,2,8,118.62
JV0370,Mortal Kombat 1,Switch,2,7,223.25
JV0419,Mario Kart 8 Deluxe,PS4,3,6,128.92
JV0439,Baldur's Gate 3,Switch,3,8,221.17
JV0447,Mortal Kombat 1,PS4,3,3,186.95
JV0455,Hogwarts Legacy,Xbox,3,3,239.82
JV0467,Diablo IV,Switch,3,5,128.18
JV0469,Baldur's Gate 3,Switch,3,10,175.62
JV0483,Resident Evil 4,PS5,3,10,102.69
JV0488,Hogwarts Legacy,PS5,3,9,269.4
JV0489,Minecraft,PS5,3,9,174.43
JV0491,Elden Ring,PS5,3,7,101.06
JV0518,Elden Ring,Switch,3,6,195.6
JV0520,Final Fantasy XVI,PS4,3,6,176.39
JV0524,Gran Turismo 7,PC,3,10,181.68
JV0563,Resident Evil 4,Xbox,3,5,193.58
JV0590,Dead Space Remake,PC,3,10,166.17
JV0590,Dead Space Remake,PS5,3,3,106.23
JV0597,Elden Ring,Switch,3,8,147.04
JV0600,Zelda TOTK,Xbox,3,9,123.08
JV0612,Diablo IV,Xbox,3,5,242.97
JV0647,Final Fantasy XVI,Switch,3,8,117.0
JV0652,Elden Ring,PC,3,7,216.61
JV0664,Final Fantasy XVI,PS4,3,8,287.93
JV0665,Final Fantasy XVI,PS5,3,7,204.83
JV0667,Mario Kart 8 Deluxe,Switch,3,7,237.77
JV0680,Call of Duty MW3,PC,3,3,178.42
JV0700,Cyberpunk 2077,Switch,3,10,283.51
JV0712,God of War Ragnarök,PS4,3,4,280.98
JV0716,Gran Turismo 7,PC,3,6,274.43
JV0735,Cyberpunk 2077,PS5,3,5,287.93
JV0746,Call of Duty MW3,PS5,3,10,146.47
JV0752,God of War Ragnarök,Xbox,3,9,157.29
JV0778,Hogwarts Legacy,Switch,3,4,115.29
JV0779,Resident Evil 4,Switch,3,5,189.01
JV0784,Mortal Kombat 1,PC,3,4,145.17
JV0785,Zelda TOTK,PC,3,3,292.45
JV0824,Call of Duty MW3,Xbox,3,6,146.34
JV0837,Call of Duty MW3,PS4,3,4,107.06
JV0844,Final Fantasy XVI,PS4,3,9,211.86
JV0856,Diablo IV,PS5,3,9,134.94
JV0859,God of War Ragnarök,PS4,3,5,220.13
JV0863,Final Fantasy XVI,Xbox,3,9,158.96
JV0866,Gran Turismo 7,PC,3,7,249.15
JV0867,Dead Space Remake,PS5,3,8,296.79
JV0890,God of War Ragnarök,PS4,3,6,248.95
JV0896,Gran Turismo 7,Xbox,3,8,184.6
JV0918,Call of Duty MW3,PS4,3,10,162.08
JV0941,Final Fantasy XVI,Switch,3,5,143.3
JV0947,Cyberpunk 2077,PC,3,9,172.04
JV0950,Elden Ring,PS5,3,5,208.83
JV0963,Hogwarts Legacy,PS5,3,6,120.9
JV0973,Minecraft,Xbox,3,9,280.09
JV0982,Mortal Kombat 1,PC,3,3,283.4
JV0010,Gran Turismo 7,Xbox,3,4,244.99
JV0113,Minecraft,PS4,3,6,123.05
JV0183,Minecraft,PS5,3,7,243.26
JV0213,Mortal Kombat 1,PS5,3,5,273.5
JV0221,Call of Duty MW3,PC,3,8,219.54
JV0229,Gran Turismo 7,PS4,3,9,131.11
JV0264,Baldur's Gate 3,PS4,3,10,277.68
JV0269,Elden Ring,PC,3,10,244.24
JV0282,Mortal Kombat 1,PC,3,3,221.58
JV0299,Mario Kart 8 Deluxe,PS4,3,3,192.46
JV0308,FIFA 24,PS4,3,3,282.74
JV0325,FIFA 24,Xbox,3,6,228.03
JV0345,Resident Evil 4,PS4,3,4,205.7
JV0352,Cyberpunk 2077,Xbox,3,3,172.35
JV0354,Elden Ring,Switch,3,9,141.43
JV0364,God of War Ragnarök,Xbox,3,8,240.98
JV0383,Resident Evil 4,Xbox,3,6,170.54
JV0384,Spider-Man 2,PS4,3,5,207.83
JV0395,Resident Evil 4,PS4,3,4,169.86
JV0413,Baldur's Gate 3,PS5,4,10,204.72
JV0421,Zelda TOTK,PS5,4,8,195.51
JV0454,Dead Space Remake,Switch,4,9,239.64
JV0474,Baldur's Gate 3,Switch,4,9,200.7
JV0504,Cyberpunk 2077,PS4,4,6,217.97
JV0519,Elden Ring,Switch,4,7,275.22
JV0536,God of War Ragnarök,Switch,4,4,189.95
JV0600,Zelda TOTK,PS4,4,7,107.07
JV0605,Diablo IV,Switch,4,6,235.16
JV0631,Zelda TOTK,Switch,4,9,229.13
JV0635,Diablo IV,PS4,4,4,119.6
JV0650,Spider-Man 2,PS4,4,7,116.99
JV0660,Dead Space Remake,PC,4,4,191.12
JV0661,Cyberpunk 2077,PS4,4,6,262.37
JV0662,Zelda TOTK,PS5,4,6,155.57
JV0707,Hogwarts Legacy,PS4,4,10,136.97
JV0741,Mortal Kombat 1,PS4,4,9,263.74
JV0762,Resident Evil 4,PC,4,5,130.38
JV0764,Hogwarts Legacy,PC,4,10,145.74
JV0779,Resident Evil 4,Xbox,4,7,186.95
JV0782,Resident Evil 4,Switch,4,7,129.47
JV0813,Elden Ring,Xbox,4,6,272.25
JV0843,God of War Ragnarök,PS4,4,5,120.23
JV0888,Hogwarts Legacy,PS4,4,4,186.44
JV0959,Hogwarts Legacy,Xbox,4,6,246.08
JV0970,Mortal Kombat 1,PS4,4,10,186.19
JV0986,Zelda TOTK,PC,4,4,264.11
JV1000,Cyberpunk 2077,PS4,4,9,202.05
JV0001,Minecraft,Switch,4,6,127.22
JV0002,Mortal Kombat 1,Xbox,4,9,288.69
JV0003,Hogwarts Legacy,PC,4,7,164.95
JV0028,Gran Turismo 7,PS5,4,7,260.87
JV0036,Super Mario Wonder,PS4,4,6,120.71
JV0049,Elden Ring,PC,4,4,174.87
JV0051,Diablo IV,PS5,4,7,223.59
JV0079,Baldur's Gate 3,PS4,4,10,154.55
JV0083,Mortal Kombat 1,PS4,4,9,212.06
JV0086,Mortal Kombat 1,Switch,4,7,121.16
JV0087,Zelda TOTK,PC,4,9,228.72
JV0119,Baldur's Gate 3,Switch,4,4,238.47
JV0125,Resident Evil 4,PS4,4,7,157.73
JV0141,Elden Ring,PS4,4,8,214.95
JV0172,Mortal Kombat 1,Xbox,4,4,219.24
JV0178,Mario Kart 8 Deluxe,Xbox,4,9,134.37
JV0181,FIFA 24,PC,4,7,157.46
JV0194,Diablo IV,PC,4,8,199.96
JV0200,Hogwarts Legacy,Xbox,4,7,206.8
JV0210,Zelda TOTK,PS5,4,4,168.27
JV0227,Final Fantasy XVI,Xbox,4,5,212.81
JV0237,Diablo IV,Switch,4,10,185.78
JV0258,Elden Ring,Xbox,4,4,171.94
JV0258,Elden Ring,Switch,4,10,129.39
JV0306,Call of Duty MW3,Xbox,4,4,101.35
JV0325,FIFA 24,Switch,4,9,267.05
JV0332,Mario Kart 8 Deluxe,Xbox,4,7,103.83
JV0387,Diablo IV,PS4,4,8,110.47
JV0428,Zelda TOTK,PC,5,5,205.43
JV0438,Diablo IV,PS5,5,10,120.09
JV0442,Gran Turismo 7,Switch,5,5,159.31
JV0465,Gran Turismo 7,Switch,5,9,272.66
JV0471,Hogwarts Legacy,PS4,5,8,213.76
JV0490,Mortal Kombat 1,Switch,5,9,263.58
JV0529,Baldur's Gate 3,Xbox,5,5,115.85
JV0533,Cyberpunk 2077,PS4,5,5,179.72
JV0546,Super Mario Wonder,PC,5,8,259.8
JV0548,Hogwarts Legacy,Switch,5,10,247.2
JV0575,Mario Kart 8 Deluxe,PC,5,6,168.09
JV0603,Dead Space Remake,PS4,5,8,261.23
JV0637,Resident Evil 4,Xbox,5,8,154.35
JV0657,Baldur's Gate 3,PC,5,6,289.03
JV0673,Hogwarts Legacy,Xbox,5,10,263.89
JV0722,Diablo IV,PC,5,5,295.41
JV0748,Mortal Kombat 1,PC,5,5,190.31
JV0765,Elden Ring,PS4,5,9,126.79
JV0775,Resident Evil 4,PC,5,10,151.11
JV0840,FIFA 24,Xbox,5,7,170.62
JV0846,Gran Turismo 7,Switch,5,5,167.62
JV0854,FIFA 24,PS4,5,6,231.4
JV0887,Dead Space Remake,PC,5,5,254.0
JV0919,Mario Kart 8 Deluxe,PS5,5,8,162.69
JV0952,Hogwarts Legacy,Switch,5,6,234.74
JV0961,Diablo IV,PC,5,5,113.93
JV0976,Mortal Kombat 1,PS5,5,5,117.95
JV0978,Spider-Man 2,PS4,5,10,230.53
JV0981,Zelda TOTK,PS4,5,9,211.64
JV0984,Call of Duty MW3,PC,5,8,225.15
JV0988,Call of Duty MW3,PS4,5,8,213.56
JV0030,Cyberpunk 2077,PS5,5,5,178.26
JV0037,Spider-Man 2,Switch,5,6,121.03
JV0071,Resident Evil 4,PS4,5,9,115.09
JV0073,God of War Ragnarök,PS5,5,6,140.74
JV0090,Dead Space Remake,PS5,5,9,134.9
JV0140,Mortal Kombat 1,PC,5,5,233.62
JV0162,God of War Ragnarök,Xbox,5,8,173.18
JV0177,Elden Ring,PS5,5,9,230.36
JV0224,God of War Ragnarök,Xbox,5,6,102.12
JV0240,Minecraft,PC,5,7,179.61
JV0257,Super Mario Wonder,PC,5,9,220.03
JV0260,Gran Turismo 7,Xbox,5,6,164.22
JV0278,Zelda TOTK,Xbox,5,6,152.44
JV0311,Hogwarts Legacy,PC,5,10,156.4
JV0314,Gran Turismo 7,PC,5,10,226.37
JV0325,FIFA 24,PC,5,6,238.53
JV0366,FIFA 24,Switch,5,9,239.27
JV0367,Dead Space Remake,PC,5,9,161.04
JV0369,Spider-Man 2,Xbox,5,5,295.4
JV0425,Spider-Man 2,PC,6,9,206.0
JV0432,Cyberpunk 2077,PC,6,9,186.0
JV0457,Zelda TOTK,Switch,6,9,253.26
JV0461,FIFA 24,Xbox,6,7,117.39
JV0478,Mortal Kombat 1,PS4,6,9,285.87
JV0494,Spider-Man 2,Xbox,6,10,277.01
JV0502,Baldur's Gate 3,Xbox,6,10,243.45
JV0512,Spider-Man 2,PS4,6,10,285.13
JV0547,Final Fantasy XVI,PC,6,8,246.13
JV0548,Hogwarts Legacy,PS5,6,6,192.54
JV0551,Hogwarts Legacy,PS5,6,10,105.28
JV0556,God of War Ragnarök,Xbox,6,10,136.01
JV0568,Diablo IV,Switch,6,9,217.15
JV0575,Mario Kart 8 Deluxe,PS5,6,6,100.09
JV0599,Resident Evil 4,PS4,6,9,102.92
JV0610,Mario Kart 8 Deluxe,Switch,6,6,253.49
JV0614,Zelda TOTK,Xbox,6,10,259.24
JV0629,Zelda TOTK,PC,6,8,295.09
JV0630,Super Mario Wonder,PS5,6,9,191.07
JV0630,Super Mario Wonder,Xbox,6,9,249.72
JV0632,Diablo IV,PS4,6,10,267.26
JV0642,Diablo IV,Xbox,6,10,256.89
JV0657,Baldur's Gate 3,Xbox,6,7,177.91
JV0659,Gran Turismo 7,PC,6,9,146.56
JV0669,Cyberpunk 2077,PS4,6,9,170.56
JV0672,Mario Kart 8 Deluxe,Switch,6,9,206.09
JV0711,Super Mario Wonder,PC,6,7,146.35
JV0725,Super Mario Wonder,PS4,6,8,290.35
JV0769,Super Mario Wonder,PS5,6,7,170.85
JV0788,Gran Turismo 7,PS5,6,6,289.22
JV0805,Diablo IV,PS5,6,9,116.78
JV0812,Baldur's Gate 3,PC,6,9,283.88
JV0866,Gran Turismo 7,Xbox,6,10,187.3
JV0879,Spider-Man 2,Switch,6,8,163.3
JV0918,Call of Duty MW3,Switch,6,10,195.81
JV0930,Gran Turismo 7,PS5,6,10,215.71
JV0977,Mortal Kombat 1,Switch,6,6,261.46
JV0998,Hogwarts Legacy,Switch,6,10,269.66
JV0014,Cyberpunk 2077,Xbox,6,10,249.15
JV0039,Cyberpunk 2077,PC,6,6,188.71
JV0049,Elden Ring,PS5,6,6,292.25
JV0065,Minecraft,PC,6,7,164.81
JV0079,Baldur's Gate 3,Switch,6,7,293.01
JV0087,Zelda TOTK,Xbox,6,8,183.97
JV0092,Resident Evil 4,Switch,6,10,296.72
JV0116,Cyberpunk 2077,PS4,6,6,243.12
JV0155,Final Fantasy XVI,Switch,6,9,164.65
JV0158,Minecraft,Xbox,6,10,148.42
JV0161,Minecraft,Switch,6,6,160.39
JV0165,Call of Duty MW3,PS5,6,10,235.94
JV0178,Mario Kart 8 Deluxe,PS5,6,8,274.32
JV0205,Baldur's Gate 3,PC,6,10,169.07
JV0217,Baldur's Gate 3,PS5,6,6,143.29
JV0236,Mario Kart 8 Deluxe,PS5,6,9,260.54
JV0243,FIFA 24,PC,6,8,137.07
JV0250,Elden Ring,PS4,6,9,209.1
JV0254,Hogwarts Legacy,PS5,6,6,279.37
JV0268,God of War Ragnarök,Xbox,6,6,268.93
JV0276,FIFA 24,Xbox,6,6,217.25
JV0321,Diablo IV,Switch,6,6,266.92
JV0322,Dead Space Remake,Xbox,6,8,133.32
JV0347,Mario Kart 8 Deluxe,PS5,6,10,289.19
JV0376,Resident Evil 4,PS4,6,9,120.34
JV0394,Cyberpunk 2077,Xbox,6,8,151.28
JV0443,Minecraft,Switch,7,9,224.06
JV0516,Hogwarts Legacy,PS4,7,8,135.0
JV0538,Call of Duty MW3,PS5,7,10,110.36
JV0559,FIFA 24,PS5,7,7,213.54
JV0596,Resident Evil 4,Xbox,7,9,167.95
JV0631,Zelda TOTK,Xbox,7,9,260.06
JV0638,Minecraft,Switch,7,7,264.17
JV0663,Gran Turismo 7,PS5,7,10,253.22
JV0676,Spider-Man 2,PS4,7,10,209.32
JV0705,Cyberpunk 2077,Switch,7,10,107.74
JV0769,Super Mario Wonder,Switch,7,7,222.91
JV0799,Mario Kart 8 Deluxe,PS5,7,10,100.46
JV0820,Diablo IV,PC,7,7,259.34
JV0878,Cyberpunk 2077,PS5,7,7,221.81
JV0921,Final Fantasy XVI,PS5,7,9,275.02
JV0928,Minecraft,PC,7,8,270.92
JV0942,Mario Kart 8 Deluxe,Switch,7,10,167.58
JV0976,Mortal Kombat 1,PS4,7,9,291.22
JV0999,Baldur's Gate 3,PS5,7,9,111.28
JV0011,Cyberpunk 2077,PC,7,7,168.36
JV0029,Mortal Kombat 1,PS4,7,10,120.67
JV0043,Zelda TOTK,PS4,7,9,286.75
