venta_id,fecha,cliente_id,juego_id,plataforma,precio,cantidad,metodo_pago,vendedor
V00029,2024-12-19,C0103,JV018,Xbox,129.9,3,Tarjeta Crédito,José
V00030,2024-08-19,C0062,JV015,PS5,239.9,2,Yape,Carlos
V00031,2024-10-28,C0284,JV011,PS5,219.9,1,Tarjeta Débito,María
V00032,2024-12-28,C0324,JV001,PS5,299.9,1,Yape,Carlos
V00033,2024-06-18,C0037,JV002,PC,249.9,3,Yape,José
V00034,2024-10-03,C0068,JV016,PS5,289.9,1,Tarjeta Débito,Ana
V00035,2024-08-30,C0414,JV008,Switch,239.9,3,Yape,Carlos
V00036,2024-08-08,C0182,JV004,Switch,279.9,2,Tarjeta Crédito,Ana
V00037,2024-11-30,C0331,JV002,PS5,249.9,2,Efectivo,Ana
V00038,2024-02-25,C0128,JV011,PS5,219.9,3,Yape,Luis
V00039,2024-08-04,C0094,JV015,Xbox,239.9,1,Tarjeta Crédito,María
V00040,2024-10-08,C0051,JV003,PS5,229.9,1,Tarjeta Débito,Carlos
V00041,2024-05-01,C0086,JV003,Switch,229.9,3,Tarjeta Crédito,Ana
V00042,2024-07-24,C0463,JV007,PS5,249.9,3,Yape,Ana
V00043,2024-05-15,C0475,JV001,PS5,299.9,1,Plin,Ana
V00044,2024-09-06,C0080,JV018,Switch,129.9,2,Plin,María
V00045,2024-10-04,C0032,JV002,Xbox,249.9,2,Efectivo,Carlos
V00046,2024-09-14,C0471,JV019,Switch,249.9,1,Yape,Carlos
V00047,2024-04-05,C0036,JV017,PC,219.9,1,Efectivo,María
V00048,2024-10-18,C0127,JV013,PS5,269.9,1,Tarjeta Débito,Carlos
V00049,2024-08-02,C0337,JV020,PC,179.9,1,Tarjeta Débito,Luis
V00050,2024-04-14,C0343,JV011,PS5,219.9,1,Yape,José
V00051,2024-12-09,C0331,JV013,PS5,269.9,1,Tarjeta Crédito,José
V00052,2024-08-22,C0319,JV003,PC,229.9,1,Efectivo,Carlos
V00053,2024-09-16,C0136,JV018,Switch,129.9,1,Plin,Carlos
V00054,2024-05-25,C0081,JV008,Switch,239.9,1,Tarjeta Débito,José
V00055,2024-11-30,C0271,JV020,PS5,179.9,3,Tarjeta Débito,José
V00056,2024-05-15,C0060,JV004,Switch,279.9,1,Tarjeta Débito,María
V00057,2024-11-05,C0108,JV009,Switch,199.9,1,Yape,José
V00058,2024-05-08,C0464,JV017,PS5,219.9,1,Efectivo,Ana
V00059,2024-01-02,C0171,JV009,Switch,199.9,1,Plin,María
V00060,2024-12-27,C0219,JV015,PC,239.9,2,Efectivo,Carlos
V00061,2024-03-17,C0280,JV003,PS5,229.9,2,Plin,Luis
V00062,2024-08-08,C0066,JV018,Switch,129.9,1,Plin,José
V00063,2024-04-17,C0350,JV002,PS5,249.9,1,Efectivo,José
V00064,2024-07-27,C0499,JV018,PC,129.9,3,Yape,María
V00065,2024-03-31,C0452,JV006,Switch,219.9,3,Efectivo,María
V00066,2024-07-29,C0411,JV011,PS5,219.9,3,Plin,María
V00067,2024-01-20,C0440,JV004,Switch,279.9,1,Yape,María
V00068,2024-06-05,C0421,JV015,PS5,239.9,1,Yape,Carlos
V00069,2024-06-17,C0143,JV007,PS5,249.9,1,Plin,José
V00070,2024-12-13,C0432,JV017,PC,219.9,1,Plin,Carlos
V00071,2024-04-01,C0298,JV004,Switch,279.9,1,Efectivo,Carlos
V00072,2024-06-25,C0374,JV020,Xbox,179.9,1,Tarjeta Crédito,Luis
V00073,2024-07-16,C0461,JV017,PC,219.9,1,Yape,José
V00074,2024-08-11,C0001,JV002,PC,249.9,2,Tarjeta Débito,María
V00075,2024-02-05,C0486,JV012,Xbox,189.9,1,Tarjeta Débito,José
V00076,2024-06-02,C0260,JV004,Switch,279.9,2,Tarjeta Crédito,José
V00077,2024-05-31,C0284,JV013,PS4,269.9,2,Yape,Ana
V00078,2024-03-30,C0316,JV013,PS5,269.9,2,Plin,Ana
V00079,2024-01-01,C0156,JV018,Xbox,129.9,3,Yape,Ana
V00080,2024-12-01,C0165,JV019,Switch,249.9,2,Tarjeta Crédito,Ana
V00081,2024-08-30,C0407,JV007,PS5,249.9,2,Efectivo,José
V00082,2024-11-20,C0318,JV017,Xbox,219.9,2,Efectivo,María
V00083,2024-04-11,C0076,JV010,PS5,229.9,1,Efectivo,María
V00084,2024-02-07,C0234,JV016,PS5,289.9,2,Tarjeta Débito,María
V00085,2024-07-23,C0125,JV013,PS4,269.9,1,Efectivo,Carlos
V00086,2024-03-31,C0412,JV014,PC,259.9,1,Tarjeta Crédito,Carlos
V00087,2024-03-03,C0234,JV018,Switch,129.9,1,Tarjeta Crédito,Luis
V00088,2024-06-11,C0487,JV018,Switch,129.9,2,Tarjeta Débito,Luis
V00089,2024-10-07,C0229,JV014,PS4,259.9,3,Tarjeta Crédito,Ana
V00090,2024-05-06,C0431,JV009,Switch,199.9,3,Tarjeta Débito,Ana
V00091,2024-08-13,C0040,JV008,Xbox,239.9,1,Yape,José
V00092,2024-10-03,C0042,JV011,PS5,219.9,1,Yape,María
V00093,2024-03-19,C0362,JV013,PS4,269.9,2,Efectivo,Ana
V00094,2024-10-04,C0239,JV014,Switch,259.9,1,Efectivo,María
V00095,2024-10-26,C0485,JV014,PS5,259.9,1,Tarjeta Débito,Ana
V00096,2024-06-29,C0153,JV016,PS5,289.9,1,Tarjeta Crédito,Luis
V00097,2024-11-04,C0460,JV018,Switch,129.9,3,Tarjeta Crédito,María
V00098,2024-09-05,C0015,JV009,Switch,199.9,1,Plin,Ana
V00099,2024-08-27,C0471,JV006,PS5,219.9,3,Tarjeta Débito,Luis
V00100,2024-10-30,C0289,JV001,PS5,299.9,1,Efectivo,Ana
V00101,2024-08-24,C0094,JV005,PS5,299.9,3,Plin,Ana
V00102,2024-08-20,C0168,JV011,PS5,219.9,1,Tarjeta Crédito,José
V00103,2024-02-11,C0241,JV014,PS5,259.9,1,Tarjeta Débito,Carlos
V00104,2024-11-28,C0036,JV012,PS5,189.9,1,Efectivo,María
V00105,2024-01-11,C0319,JV007,PS5,249.9,3,Yape,María
V00106,2024-02-28,C0289,JV016,PS5,289.9,2,Tarjeta Crédito,José
V00107,2024-11-06,C0311,JV012,PS5,189.9,1,Yape,José
V00108,2024-01-14,C0476,JV004,Switch,279.9,2,Tarjeta Débito,Ana
V00109,2024-04-11,C0039,JV013,PS5,269.9,2,Yape,Carlos
V00110,2024-12-16,C0308,JV010,PS5,229.9,3,Tarjeta Débito,Carlos
V00111,2024-08-07,C0339,JV012,Xbox,189.9,2,Efectivo,Luis
V00112,2024-08-03,C0422,JV011,PS5,219.9,1,Efectivo,Ana
V00113,2024-08-23,C0363,JV012,PS4,189.9,2,Tarjeta Crédito,María
V00114,2024-05-18,C0316,JV017,PC,219.9,2,Tarjeta Crédito,Ana
V00115,2024-10-30,C0138,JV014,Xbox,259.9,3,Yape,Carlos
V00116,2024-05-04,C0385,JV009,Switch,199.9,1,Tarjeta Débito,Luis
V00117,2024-01-15,C0254,JV013,PS5,269.9,1,Yape,Ana
V00118,2024-05-12,C0175,JV007,Xbox,249.9,1,Tarjeta Débito,José
V00119,2024-09-21,C0486,JV018,Switch,129.9,1,Efectivo,María
V00120,2024-10-11,C0389,JV014,PS4,259.9,1,Tarjeta Crédito,Ana
V00121,2024-01-09,C0048,JV015,Xbox,239.9,3,Yape,Ana
V00122,2024-12-05,C0298,JV008,Xbox,239.9,1,Tarjeta Crédito,Luis
V00123,2024-08-05,C0382,JV017,PC,219.9,1,Plin,José
V00124,2024-06-05,C0129,JV015,PS5,239.9,1,Efectivo,María
V00125,2024-10-01,C0487,JV011,PS5,219.9,1,Yape,María
V00126,2024-10-28,C0390,JV016,PS5,289.9,1,Tarjeta Débito,José
V00127,2024-04-09,C0152,JV004,Switch,279.9,3,Plin,María
V00128,2024-12-28,C0274,JV010,PS5,229.9,1,Plin,Carlos
V00129,2024-05-29,C0358,JV002,PS5,249.9,2,Tarjeta Crédito,Carlos
V00130,2024-05-25,C0241,JV001,PS5,299.9,2,Tarjeta Crédito,José
V00131,2024-05-09,C0482,JV006,Switch,219.9,1,Efectivo,Carlos
V00132,2024-02-07,C0296,JV013,PS5,269.9,1,Yape,María
V00133,2024-02-13,C0128,JV019,Switch,249.9,1,Tarjeta Débito,Ana
V00134,2024-11-12,C0116,JV020,PC,179.9,2,Tarjeta Crédito,Ana
V00135,2024-10-28,C0220,JV015,Xbox,239.9,1,Tarjeta Débito,Luis
V00136,2024-02-20,C0486,JV002,PS5,249.9,2,Yape,José
V00137,2024-05-02,C0089,JV003,PC,229.9,1,Efectivo,María
V00138,2024-08-18,C0353,JV001,PS5,299.9,1,Tarjeta Crédito,José
V00139,2024-05-27,C0362,JV002,Xbox,249.9,1,Tarjeta Crédito,Carlos
V00140,2024-11-16,C0302,JV008,PS5,239.9,1,Tarjeta Crédito,Carlos
V00141,2024-11-27,C0077,JV018,Xbox,129.9,1,Yape,Carlos
V00142,2024-06-06,C0305,JV002,PC,249.9,1,Plin,Ana
V00143,2024-12-18,C0156,JV004,Switch,279.9,1,Plin,Luis
V00144,2024-08-12,C0042,JV018,PC,129.9,1,Efectivo,Ana
V00145,2024-05-08,C0014,JV011,PS5,219.9,2,Yape,Luis
V00146,2024-12-10,C0421,JV019,Switch,249.9,1,Tarjeta Débito,Carlos
V00147,2024-09-22,C0334,JV006,Switch,219.9,1,Plin,María
V00148,2024-11-21,C0417,JV019,Switch,249.9,1,Efectivo,Ana
V00149,2024-06-19,C0165,JV012,PS5,189.9,1,Yape,José
V00150,2024-09-10,C0148,JV014,Switch,259.9,2,Tarjeta Débito,Carlos
V00151,2024-06-10,C0130,JV015,Xbox,239.9,1,Efectivo,Ana
V00152,2024-01-01,C0337,JV017,PC,219.9,3,Tarjeta Crédito,Ana
V00153,2024-09-22,C0186,JV002,PC,249.9,1,Tarjeta Crédito,Ana
V00154,2024-05-16,C0282,JV002,PS5,249.9,1,Plin,Ana
V00155,2024-01-15,C0499,JV016,PS5,289.9,1,Yape,María
V00156,2024-01-08,C0283,JV010,PS5,229.9,2,Efectivo,María
V00157,2024-03-01,C0332,JV004,Switch,279.9,1,Tarjeta Crédito,José
V00158,2024-05-19,C0213,JV017,PS5,219.9,2,Tarjeta Crédito,María
V00159,2024-03-15,C0197,JV015,PS5,239.9,2,Tarjeta Débito,Luis
V00160,2024-02-05,C0142,JV005,PS5,299.9,3,Plin,Luis
V00161,2024-01-02,C0145,JV009,Switch,199.9,3,Tarjeta Débito,Luis
V00162,2024-03-17,C0229,JV016,PS5,289.9,3,Tarjeta Crédito,José
V00163,2024-10-05,C0194,JV011,PS5,219.9,2,Plin,María
V00164,2024-07-15,C0120,JV008,Switch,239.9,2,Efectivo,José
V00165,2024-07-14,C0198,JV016,PS5,289.9,2,Tarjeta Crédito,Carlos
V00166,2024-10-29,C0170,JV005,PS5,299.9,2,Tarjeta Crédito,Carlos
V00167,2024-01-08,C0370,JV017,PS5,219.9,1,Tarjeta Crédito,María
V00168,2024-05-15,C0174,JV003,PC,229.9,1,Tarjeta Crédito,Carlos
V00169,2024-12-11,C0440,JV011,PC,219.9,3,Tarjeta Crédito,José
V00170,2024-10-04,C0019,JV016,PS5,289.9,3,Efectivo,María
V00171,2024-02-16,C0223,JV010,PS5,229.9,1,Efectivo,Ana
V00172,2024-06-02,C0463,JV006,PS5,219.9,2,Efectivo,José
V00173,2024-07-02,C0192,JV002,PS5,249.9,1,Yape,María
V00174,2024-10-16,C0350,JV017,PS5,219.9,1,Yape,María
V00175,2024-07-14,C0318,JV003,PS5,229.9,2,Tarjeta Crédito,Luis
V00176,2024-08-24,C0327,JV005,PS5,299.9,1,Tarjeta Crédito,José
V00177,2024-08-26,C0462,JV001,PS5,299.9,3,Tarjeta Débito,María
V00178,2024-06-25,C0301,JV003,Xbox,229.9,1,Tarjeta Crédito,José
V00179,2024-06-03,C0102,JV015,PS5,239.9,3,Tarjeta Crédito,Carlos
V00180,2024-10-19,C0184,JV008,PC,239.9,1,Plin,José
V00181,2024-12-03,C0203,JV001,PS5,299.9,3,Efectivo,Luis
V00182,2024-09-11,C0427,JV002,Xbox,249.9,2,Yape,Luis
V00183,2024-11-21,C0098,JV012,PC,189.9,1,Plin,María
V00184,2024-11-26,C0021,JV004,Switch,279.9,2,Tarjeta Crédito,Carlos
V00185,2024-03-08,C0047,JV019,Switch,249.9,1,Plin,Ana
V00186,2024-03-08,C0403,JV006,PC,219.9,1,Plin,Luis
V00187,2024-03-25,C0132,JV017,PS5,219.9,1,Plin,José
V00188,2024-02-08,C0073,JV004,Switch,279.9,1,Tarjeta Crédito,Luis
V00189,2024-07-21,C0008,JV012,Xbox,189.9,1,Tarjeta Débito,Carlos
V00190,2024-12-10,C0384,JV015,Xbox,239.9,1,Tarjeta Débito,Ana
V00191,2024-12-11,C0120,JV012,Switch,189.9,1,Efectivo,Luis
V00192,2024-11-08,C0114,JV018,Switch,129.9,1,Tarjeta Crédito,José
V00193,2024-03-12,C0024,JV014,PS5,259.9,1,Plin,Ana
V00194,2024-04-30,C0455,JV004,Switch,279.9,1,Yape,Ana
V00195,2024-12-09,C0487,JV015,PC,239.9,1,Tarjeta Crédito,Luis
V00196,2024-12-01,C0051,JV005,PS5,299.9,1,Tarjeta Débito,Ana
V00197,2024-12-19,C0190,JV009,Switch,199.9,1,Tarjeta Crédito,Ana
V00198,2024-07-04,C0051,JV008,Xbox,239.9,3,Tarjeta Débito,José
V00199,2024-05-21,C0098,JV002,PS5,249.9,1,Tarjeta Crédito,Carlos
V00200,2024-11-23,C0306,JV007,PS5,249.9,2,Efectivo,José
V00201,2024-10-16,C0106,JV008,PS5,239.9,1,Tarjeta Débito,María
V00202,2024-04-29,C0169,JV019,Switch,249.9,1,Tarjeta Débito,Carlos
V00203,2024-03-15,C0067,JV009,Switch,199.9,3,Plin,María
V00204,2024-01-14,C0068,JV004,Switch,279.9,2,Plin,María
V00205,2024-01-09,C0090,JV019,Switch,249.9,1,Efectivo,María
V00206,2024-02-28,C0382,JV014,PS5,259.9,2,Tarjeta Crédito,Ana
V00207,2024-10-30,C0056,JV012,Switch,189.9,2,Tarjeta Débito,María
V00208,2024-12-03,C0267,JV020,Xbox,179.9,1,Tarjeta Crédito,Carlos
V00209,2024-07-24,C0219,JV002,PS5,249.9,1,Tarjeta Crédito,Ana
V00210,2024-06-13,C0312,JV003,PS5,229.9,1,Efectivo,María
V00211,2024-11-20,C0300,JV009,Switch,199.9,2,Plin,Ana
V00212,2024-05-30,C0233,JV020,PC,179.9,2,Tarjeta Débito,Ana
V00213,2024-12-25,C0059,JV004,Switch,279.9,3,Yape,Ana
V00214,2024-07-30,C0174,JV015,PS5,239.9,1,Tarjeta Crédito,Ana
V00215,2024-08-06,C0161,JV004,Switch,279.9,1,Plin,María
V00216,2024-02-16,C0426,JV016,PS5,289.9,1,Efectivo,Ana
V00217,2024-07-09,C0416,JV004,Switch,279.9,2,Tarjeta Débito,Carlos
V00218,2024-10-14,C0169,JV019,Switch,249.9,2,Tarjeta Crédito,José
V00219,2024-01-27,C0496,JV014,Xbox,259.9,3,Tarjeta Débito,José
V00220,2024-10-22,C0260,JV012,PS4,189.9,1,Yape,Ana
V00221,2024-02-25,C0180,JV008,PC,239.9,3,Plin,Carlos
V00222,2024-04-25,C0414,JV009,Switch,199.9,2,Tarjeta Débito,Luis
V00223,2024-11-25,C0286,JV020,PS5,179.9,2,Tarjeta Débito,José
V00224,2024-05-19,C0360,JV001,PS5,299.9,1,Plin,José
V00225,2024-03-14,C0290,JV001,PS5,299.9,1,Efectivo,María
V00226,2024-09-28,C0111,JV001,PS5,299.9,1,Tarjeta Crédito,Ana
V00227,2024-07-08,C0160,JV011,PS5,219.9,1,Tarjeta Débito,Luis
V00228,2024-03-20,C0081,JV003,PC,229.9,1,Efectivo,Carlos
V00229,2024-12-04,C0218,JV009,Switch,199.9,1,Tarjeta Débito,Ana
V00230,2024-04-20,C0387,JV014,PC,259.9,1,Efectivo,José
V00231,2024-05-25,C0348,JV014,PC,259.9,1,Tarjeta Crédito,Luis
V00232,2024-04-22,C0203,JV010,PC,229.9,1,Efectivo,Carlos
V00233,2024-04-18,C0393,JV007,PS5,249.9,1,Plin,José
V00234,2024-01-04,C0255,JV011,PS5,219.9,1,Yape,María
V00235,2024-12-26,C0118,JV013,PS5,269.9,2,Tarjeta Débito,José
V00236,2024-01-22,C0224,JV003,PS5,229.9,1,Tarjeta Crédito,Carlos
V00237,2024-08-07,C0294,JV011,PS5,219.9,2,Tarjeta Crédito,José
V00238,2024-01-11,C0495,JV004,Switch,279.9,1,Yape,Luis
V00239,2024-12-19,C0471,JV015,Xbox,239.9,3,Efectivo,Ana
V00240,2024-08-11,C0302,JV004,Switch,279.9,1,Tarjeta Débito,Carlos
V00241,2024-06-07,C0382,JV013,PS5,269.9,3,Yape,José
V00242,2024-09-18,C0325,JV006,PS5,219.9,1,Tarjeta Débito,Luis
V00243,2024-06-27,C0180,JV007,PS5,249.9,3,Yape,Carlos
V00244,2024-04-11,C0089,JV005,PS5,299.9,1,Yape,Carlos
V00245,2024-11-17,C0253,JV006,Switch,219.9,3,Tarjeta Débito,Luis
V00246,2024-10-16,C0330,JV015,PC,239.9,2,Plin,José
V00247,2024-02-04,C0241,JV005,PS5,299.9,1,Plin,José
V00248,2024-06-29,C0260,JV019,Switch,249.9,1,Plin,Ana
V00249,2024-01-30,C0189,JV015,Xbox,239.9,1,Efectivo,Carlos
V00250,2024-09-16,C0197,JV020,PS5,179.9,2,Tarjeta Débito,Luis
V00251,2024-10-19,C0334,JV002,PS5,249.9,1,Plin,Luis
V00252,2024-03-18,C0491,JV016,PS5,289.9,2,Tarjeta Crédito,Carlos
V00253,2024-02-13,C0259,JV011,PS5,219.9,2,Efectivo,María
V00254,2024-09-25,C0268,JV015,PC,239.9,1,Yape,José
V00255,2024-07-17,C0210,JV012,Xbox,189.9,1,Tarjeta Débito,Carlos
V00256,2024-06-17,C0049,JV011,PC,219.9,1,Tarjeta Crédito,José
V00257,2024-12-02,C0494,JV009,Switch,199.9,2,Yape,José
V00258,2024-12-05,C0073,JV003,Xbox,229.9,2,Plin,Ana
V00259,2024-12-28,C0481,JV005,PS5,299.9,2,Plin,Luis
V00260,2024-06-17,C0417,JV013,PS4,269.9,2,Tarjeta Débito,Carlos
V00261,2024-07-04,C0010,JV014,Xbox,259.9,2,Plin,María
V00262,2024-09-05,C0099,JV007,PS5,249.9,1,Yape,María
V00263,2024-02-21,C0260,JV003,PC,229.9,1,Tarjeta Débito,Carlos
V00264,2024-11-12,C0068,JV011,PC,219.9,3,Tarjeta Crédito,María
V00265,2024-12-20,C0395,JV006,PC,219.9,1,Yape,Ana
V00266,2024-07-05,C0347,JV002,PS5,249.9,1,Tarjeta Crédito,Luis
V00267,2024-08-17,C0120,JV010,PC,229.9,3,Yape,José
V00268,2024-04-09,C0189,JV016,PS5,289.9,3,Tarjeta Crédito,Ana
V00269,2024-07-14,C0258,JV010,PC,229.9,3,Tarjeta Crédito,María
V00270,2024-11-05,C0071,JV007,Xbox,249.9,3,Efectivo,Ana
V00271,2024-02-22,C0365,JV012,PC,189.9,2,Efectivo,José
V00272,2024-03-23,C0140,JV003,Switch,229.9,3,Tarjeta Débito,María
V00273,2024-04-23,C0419,JV014,Switch,259.9,1,Plin,Carlos
V00274,2024-07-21,C0258,JV014,Xbox,259.9,1,Yape,Ana
V00275,2024-04-24,C0015,JV003,Xbox,229.9,1,Efectivo,José
V00276,2024-01-20,C0147,JV005,PS5,299.9,1,Yape,Ana
V00277,2024-01-03,C0464,JV015,PS5,239.9,2,Efectivo,José
V00278,2024-03-17,C0281,JV007,PC,249.9,3,Tarjeta Débito,Ana
V00279,2024-05-27,C0122,JV004,Switch,279.9,3,Efectivo,Carlos
V00280,2024-11-23,C0407,JV008,PC,239.9,1,Tarjeta Crédito,Carlos
V00281,2024-09-12,C0306,JV004,Switch,279.9,3,Efectivo,Luis
V00282,2024-03-14,C0150,JV019,Switch,249.9,1,Efectivo,Luis
V00283,2024-10-19,C0214,JV012,PS4,189.9,1,Efectivo,Luis
V00284,2024-09-26,C0279,JV012,PC,189.9,1,Tarjeta Débito,Luis
V00285,2024-08-28,C0023,JV001,PS5,299.9,1,Plin,José
V00286,2024-02-04,C0177,JV001,PS4,299.9,1,Efectivo,Luis
V00287,2024-01-23,C0181,JV011,PC,219.9,1,Plin,María
V00288,2024-09-02,C0324,JV015,PS5,239.9,2,Yape,Carlos
V00289,2024-05-30,C0104,JV015,PS5,239.9,1,Yape,Carlos
V00290,2024-09-20,C0204,JV011,PC,219.9,1,Tarjeta Crédito,José
V00291,2024-11-27,C0098,JV002,Xbox,249.9,3,Plin,Carlos
V00292,2024-03-04,C0410,JV011,PS5,219.9,1,Tarjeta Crédito,Ana
V00293,2024-06-22,C0499,JV015,PS5,239.9,1,Tarjeta Crédito,Ana
V00294,2024-09-22,C0137,JV012,PS5,189.9,3,Tarjeta Crédito,Carlos
V00295,2024-04-02,C0280,JV014,Xbox,259.9,2,Plin,Carlos
V00296,2024-12-04,C0152,JV003,Xbox,229.9,1,Tarjeta Crédito,Luis
V00297,2024-12-19,C0228,JV014,Xbox,259.9,1,Tarjeta Crédito,Carlos
V00298,2024-08-10,C0141,JV012,PS5,189.9,2,Efectivo,Ana
V00299,2024-12-13,C0082,JV012,PS5,189.9,2,Yape,Luis
V00300,2024-03-05,C0035,JV015,PS5,239.9,1,Plin,José
V00301,2024-01-17,C0310,JV013,PS4,269.9,2,Tarjeta Crédito,José
V00302,2024-02-09,C0294,JV012,PS4,189.9,1,Tarjeta Débito,José
V00303,2024-11-28,C0143,JV013,PS4,269.9,1,Efectivo,Carlos
V00304,2024-09-22,C0199,JV006,PC,219.9,1,Efectivo,José
V00305,2024-08-16,C0110,JV009,Switch,199.9,2,Plin,Ana
V00306,2024-03-10,C0437,JV007,PS5,249.9,1,Tarjeta Crédito,María
V00307,2024-12-15,C0496,JV015,Xbox,239.9,1,Plin,Carlos
V00308,2024-05-28,C0457,JV018,Xbox,129.9,2,Yape,María
V00309,2024-04-24,C0063,JV012,PS4,189.9,2,Yape,María
V00310,2024-07-03,C0284,JV016,PS5,289.9,1,Plin,Ana
V00311,2024-11-09,C0453,JV018,Switch,129.9,1,Efectivo,José
V00312,2024-09-02,C0270,JV013,PS5,269.9,2,Tarjeta Crédito,Luis
V00313,2024-06-11,C0329,JV003,PS5,229.9,1,Tarjeta Crédito,Ana
V00314,2024-03-06,C0450,JV017,PC,219.9,1,Tarjeta Débito,María
V00315,2024-09-14,C0467,JV005,PS5,299.9,1,Efectivo,Luis
V00316,2024-03-25,C0083,JV005,PS5,299.9,1,Yape,José
V00317,2024-02-10,C0129,JV017,PS5,219.9,1,Tarjeta Débito,José
V00318,2024-06-04,C0315,JV005,PS5,299.9,2,Efectivo,Luis
V00319,2024-10-24,C0079,JV006,PS5,219.9,2,Tarjeta Débito,Luis
V00320,2024-10-15,C0022,JV011,PS5,219.9,3,Efectivo,Carlos
V00321,2024-11-29,C0108,JV019,Switch,249.9,1,Tarjeta Crédito,Luis
V00322,2024-11-17,C0280,JV001,PS5,299.9,1,Plin,Ana
V00323,2024-12-16,C0208,JV008,Xbox,239.9,3,Tarjeta Crédito,Carlos
V00324,2024-08-13,C0213,JV002,PS5,249.9,1,Tarjeta Crédito,María
V00325,2024-03-14,C0161,JV011,PS5,219.9,2,Plin,Ana
V00326,2024-07-08,C0264,JV005,PS5,299.9,3,Efectivo,José
V00327,2024-03-03,C0137,JV008,Switch,239.9,1,Yape,María
V00328,2024-05-28,C0485,JV004,Switch,279.9,1,Tarjeta Débito,Ana
V00329,2024-03-22,C0417,JV008,Xbox,239.9,3,Tarjeta Débito,José
V00330,2024-03-22,C0256,JV007,PC,249.9,3,Tarjeta Crédito,Ana
V00331,2024-01-12,C0047,JV010,PS5,229.9,1,Tarjeta Débito,Ana
V00332,2024-10-25,C0181,JV008,PS5,239.9,1,Efectivo,José
V00333,2024-11-30,C0345,JV016,PS5,289.9,2,Plin,Luis
V00334,2024-02-25,C0221,JV001,PS4,299.9,3,Plin,José
V00335,2024-01-24,C0206,JV013,PS5,269.9,1,Tarjeta Débito,Luis
V00336,2024-10-10,C0148,JV007,PS5,249.9,1,Tarjeta Crédito,Luis
V00337,2024-10-08,C0144,JV015,PC,239.9,3,Tarjeta Débito,Carlos
V00338,2024-07-20,C0192,JV005,PS5,299.9,1,Tarjeta Débito,José
V00339,2024-11-04,C0261,JV005,PS5,299.9,1,Tarjeta Débito,Carlos
V00340,2024-03-11,C0366,JV002,Xbox,249.9,1,Tarjeta Crédito,Luis
V00341,2024-11-06,C0458,JV015,PC,239.9,1,Yape,José
V00342,2024-03-24,C0202,JV020,PC,179.9,1,Plin,Luis
V00343,2024-09-17,C0273,JV011,PS5,219.9,2,Tarjeta Débito,José
V00344,2024-01-09,C0189,JV016,PS5,289.9,3,Efectivo,Ana
V00345,2024-12-18,C0323,JV019,Switch,249.9,1,Tarjeta Débito,Ana
V00346,2024-10-23,C0296,JV009,Switch,199.9,2,Efectivo,Luis
V00347,2024-09-25,C0323,JV016,PS5,289.9,1,Tarjeta Crédito,María
V00348,2024-10-20,C0486,JV008,PS5,239.9,1,Yape,Carlos
V00349,2024-08-02,C0078,JV015,PS5,239.9,1,Yape,Ana
V00350,2024-11-09,C0472,JV017,PS5,219.9,3,Efectivo,María
